Match Number,Team Number,Match Type,Alliance,Left Community,Preloaded,Auto Scored Low,Auto Scored Med,Auto Scored High,Auto Engaged Docked State,Teleop Scored Cones,Teleop Scored Cubes,Teleop Goals Low,Teleop Goals Med,Teleop Goals High,Teleop Missed Attempts,Teleop Links,Teleop Playstyle,Fouls,Tech Fouls,Robot Broke Down,Endgame Robot State,Endgame Sustainability Bonus,Endgame Coopertition Bonus,Endgame Activation Bonus,Yellow Card 1,Yellow Card 2,Final Alliance Score,Final WLT,Notes
1,7627,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,0,1,2,0,4,"Offensive",0,0,false,"No points",true,true,true,false,false,135,"Loss","kind of hasty with scoring, so either super fast cycle or they miss",
2,4915,"Qualification","Red 3",false,"High",0,0,1,"Docked and Engaged",false,true,5,0,0,0,4,"Offensive",0,0,false,"No points",true,true,true,false,false,104,"Loss","double substation girl literally dropped two cubes",
3,360,"Qualification","Red 3",true,"High",0,0,2,"Docked and Engaged",true,true,0,2,4,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,129,"Win","",
4,9036,"Qualification","Red 3",true,"Middle",0,1,0,"Alliance Member Docked",false,true,0,1,0,0,4,"[Select play style...]",0,0,false,"Parked",true,true,false,false,false,118,"Loss","always started and stopped not smooth motion",
5,7461,"Qualification","Red 3",true,"Didn't score",0,0,1,"Alliance Member Docked",true,true,2,0,4,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,162,"Win","",
6,2147,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,3,0,1,0,4,"[Select play style...]",0,0,false,"No points",true,true,true,false,false,125,"Loss","",
7,3663,"Qualification","Red 3",false,"High",0,0,1,"Alliance Member Docked",true,false,0,4,3,0,5,"Offensive",0,0,false,"Docked",true,true,false,false,false,150,"Loss","hella fast cycles like 6-8 seconds",
8,3674,"Qualification","Red 3",true,"Low",1,0,0,"None Docked",true,true,1,0,5,0,2,"Offensive",0,0,false,"No points",false,true,false,false,false,72,"Loss","threw endgame by trying to triple balance, otherwise decent scorer with good cycles",
9,2522,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,5,0,0,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,142,"Loss","",
10,955,"Qualification","Red 3",true,"High",0,0,2,"None Docked",true,true,1,2,2,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,149,"Loss","",
