Match Number,Team Number,Match Type,Alliance,Left Community,Preloaded,Auto Scored Low,Auto Scored Med,Auto Scored High,Auto Engaged Docked State,Teleop Scored Cones,Teleop Scored Cubes,Teleop Goals Low,Teleop Goals Med,Teleop Goals High,Teleop Missed Attempts,Teleop Links,Teleop Playstyle,Fouls,Tech Fouls,Robot Broke Down,Endgame Robot State,Endgame Sustainability Bonus,Endgame Coopertition Bonus,Endgame Activation Bonus,Yellow Card 1,Yellow Card 2,Final Alliance Score,Final WLT,Notes
1,2910,"Qualification","Blue 1",true,"High",2,0,0,"Alliance Member Docked",true,true,3,2,3,0,3,"Offensive",0,0,false,"Engaged",true,true,true,false,false,149,"Win","",
2,1778,"Qualification","Blue 1",true,"High",1,0,0,"Alliance Member Docked",false,true,6,1,0,0,2,"Offensive",0,0,false,"Engaged",true,true,true,false,false,146,"Win","really good at low but can only do cubes",
3,4488,"Qualification","Blue 1",false,"Didn't score",0,0,0,"Alliance Member Docked",false,false,0,0,0,0,0,"None",0,0,false,"No points",false,true,true,false,false,104,"Loss","moved but wasn't doing anything 
",
4,955,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,1,2,3,0,3,"Offensive",0,0,false,"Engaged",true,true,true,false,false,155,"Win","",
5,8532,"Qualification","Blue 1",true,"High",0,0,0,"None Docked",true,true,1,1,2,0,1,"Offensive",0,0,false,"No points",false,true,false,false,false,98,"Loss","kind of slow at scoring, came close to tipping over",
7,2521,"Qualification","Blue 1",true,"High",0,0,1,"None Docked",true,true,3,4,2,0,1,"Offensive",0,0,false,"Engaged",true,true,true,false,false,147,"Loss","",
8,1899,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,1,2,3,0,1,"Offensive",0,0,false,"Engaged",false,true,true,false,false,100,"Win","grabber lost cones",
9,2412,"Qualification","Blue 1",true,"High",0,0,2,"Alliance Member Docked",true,true,3,0,4,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,144,"Win","",
10,6831,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",false,false,0,0,0,0,0,"Offensive",0,0,false,"Engaged",false,true,true,false,false,83,"Loss","",
11,7034,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,1,2,2,0,2,"Offensive",0,0,false,"Engaged",true,true,true,false,false,152,"Win","",
12,4061,"Qualification","Blue 1",true,"Middle",0,1,0,"Alliance Member Docked",true,true,0,3,3,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,167,"Win","very consistent
",
13,9036,"Qualification","Blue 1",false,"High",0,0,1,"None Docked",true,true,0,3,0,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,114,"Loss","",
14,3070,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,0,2,2,0,0,"Offensive",0,0,false,"No points",true,true,true,false,false,156,"Win","",
15,3674,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,0,0,3,0,0,"Offensive",0,0,true,"No points",true,true,true,false,false,141,"Win","dc'd",
16,2046,"Qualification","Blue 1",false,"Didn't score",0,0,0,"Alliance Member Docked",false,false,0,0,0,0,2,"None",0,0,false,"No points",false,true,true,false,false,74,"Loss","MIA ",
17,4469,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,false,1,0,3,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,109,"Loss","slower but accurate high scoring",
18,4061,"Qualification","Blue 1",true,"Middle",0,1,0,"Alliance Member Docked",true,true,0,1,4,0,4,"Offensive",0,0,false,"No points",true,true,true,false,false,159,"Win","",
19,488,"Qualification","Blue 1",true,"High",0,0,2,"None Docked",true,true,1,0,2,0,3,"Offensive",0,0,false,"No points",false,true,false,false,false,108,"Loss","fell over in endgame",
20,2980,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",false,true,2,0,0,0,2,"Both",0,0,false,"No points",false,true,true,false,false,79,"Loss","",
21,1540,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,3,0,3,0,5,"Offensive",0,0,false,"Parked",true,true,true,false,false,145,"Loss","good cycles and scoring location adaptable",
22,1778,"Qualification","Blue 1",true,"High",0,0,1,"None Docked",false,true,6,0,0,0,7,"Offensive",0,0,false,"Engaged",true,true,true,false,false,153,"Win","really good offensive support like they said in pit scouting they score really fast low cubes really well",
