Match Number,Team Number,Match Type,Alliance,Left Community,Preloaded,Auto Scored Low,Auto Scored Med,Auto Scored High,Auto Engaged Docked State,Teleop Scored Cones,Teleop Scored Cubes,Teleop Goals Low,Teleop Goals Med,Teleop Goals High,Teleop Missed Attempts,Teleop Links,Teleop Playstyle,Fouls,Tech Fouls,Robot Broke Down,Endgame Robot State,Endgame Sustainability Bonus,Endgame Coopertition Bonus,Endgame Activation Bonus,Yellow Card 1,Yellow Card 2,Final Alliance Score,Final WLT,Notes
1,6831,"Qualification","Red 2",false,"Didn't score",0,0,0,"None Docked",true,true,2,2,0,2,2,"Offensive",0,0,false,"Engaged",true,true,true,false,false,135,"Loss","slow",
2,4131,"Qualification","Red 2",true,"Didn't score",0,0,0,"Alliance Member Docked",true,true,0,1,4,1,0,"Offensive",0,0,false,"Engaged",true,true,false,false,false,104,"Loss","",
3,488,"Qualification","Red 2",true,"Didn't score",0,0,1,"Alliance Member Docked",true,true,1,0,2,0,4,"Offensive",0,0,false,"No points",true,true,true,false,false,129,"Win","Uses claw to grab from low intake, tipped over middle of round, slow high cones",
4,2046,"Qualification","Red 2",true,"High",0,0,1,"None Docked",true,true,0,0,5,0,4,"Offensive",0,0,false,"No points",true,true,false,false,false,118,"Loss","really good at finishing a link",
5,3218,"Qualification","Red 2",true,"High",0,0,1,"Alliance Member Docked",true,true,0,1,3,2,0,"Offensive",0,0,false,"Parked",true,true,true,false,false,162,"[Select outcome...]","shoots cubes into community for other teams ",
6,1540,"Qualification","Red 2",true,"High",0,1,1,"Alliance Member Docked",true,false,1,0,4,1,0,"Offensive",0,0,false,"Parked",true,true,false,false,false,125,"Win","",
7,2557,"Qualification","Red 2",true,"High",0,0,1,"Alliance Member Docked",true,true,0,2,2,0,0,"Offensive",0,0,false,"No points",true,true,false,false,false,150,"Win","",
8,5920,"Qualification","Red 2",true,"Didn't score",0,0,0,"None Docked",false,false,0,0,0,0,0,"Defensive",0,0,false,"Docked",true,true,false,false,false,72,"Loss","",
9,360,"Qualification","Red 2",true,"High",0,0,2,"Alliance Member Docked",true,true,0,1,4,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,142,"Loss","",
10,7461,"Qualification","Red 2",false,"High",0,0,1,"Alliance Member Docked",true,true,1,0,3,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,149,"Win","",
