Match Number,Team Number,Match Type,Alliance,Left Community,Preloaded,Auto Scored Low,Auto Scored Med,Auto Scored High,Auto Engaged Docked State,Teleop Scored Cones,Teleop Scored Cubes,Teleop Goals Low,Teleop Goals Med,Teleop Goals High,Teleop Missed Attempts,Teleop Links,Teleop Playstyle,Fouls,Tech Fouls,Robot Broke Down,Endgame Robot State,Endgame Sustainability Bonus,Endgame Coopertition Bonus,Endgame Activation Bonus,Yellow Card 1,Yellow Card 2,Final Alliance Score,Final WLT,Notes
1,2412,"Qualification","Red 1",false,"High",0,0,1,"None Docked",true,false,0,0,6,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,135,"Loss","",
2,2741,"Qualification","Red 1",false,"Didn't score",0,0,0,"None Docked",false,false,0,0,0,0,4,"None",0,0,true,"Engaged",true,true,true,false,false,104,"Loss","",
3,4061,"Qualification","Red 1",false,"Didn't score",0,0,0,"Alliance Member Docked",true,false,0,0,5,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,129,"Win","",
4,2811,"Qualification","Red 1",false,"High",0,0,1,"Docked and Engaged",false,false,0,0,1,0,2,"Defensive",0,0,false,"Parked",true,true,false,false,false,118,"Loss","",
5,6443,"Qualification","Red 1",true,"High",0,0,1,"Docked and Engaged",true,false,0,0,5,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,162,"Win","",
6,1294,"Qualification","Red 1",true,"High",0,0,1,"Alliance Member Docked",true,false,0,0,2,0,4,"Offensive",0,0,true,"Engaged",true,true,true,false,false,125,"Loss","",
7,948,"Qualification","Red 1",true,"High",0,0,1,"Docked and Engaged",false,true,2,2,2,0,5,"Offensive",0,0,false,"No points",true,true,false,false,false,150,"Win","",
8,2980,"Qualification","Red 1",false,"Middle",0,1,0,"None Docked",true,false,3,0,0,0,2,"Offensive",0,0,false,"Engaged",false,true,false,false,false,72,"Loss","revamped entire robot",
9,2471,"Qualification","Red 1",true,"Low",1,0,0,"Alliance Member Docked",true,false,0,0,5,0,6,"Offensive",0,0,false,"No points",true,true,true,false,false,142,"Loss","fell over",
10,1983,"Qualification","Red 1",true,"High",0,0,1,"Docked and Engaged",false,true,3,1,0,0,6,"Offensive",0,0,false,"No points",true,true,false,false,false,149,"Win","very very VERY wobbly. weak intake. easily pushable
",
11,5827,"Qualification","Red 1",true,"High",0,0,1,"Alliance Member Docked",false,true,3,2,0,0,4,"Offensive",0,0,false,"No points",true,true,true,false,false,146,"Loss","",
12,1425,"Qualification","Red 1",true,"High",1,0,1,"None Docked",true,false,0,2,3,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,156,"Loss","",
13,488,"Qualification","Red 1",true,"High",0,0,1,"Alliance Member Docked",true,true,2,4,2,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,157,"Win","",
14,492,"Qualification","Red 1",true,"High",0,0,1,"Alliance Member Docked",true,true,3,1,2,0,4,"Offensive",0,0,false,"No points",true,true,false,false,false,146,"Loss","",
15,1540,"Qualification","Red 1",false,"High",1,1,1,"Alliance Member Docked",true,true,1,0,4,0,3,"[Select play style...]",0,0,false,"Docked",false,true,false,false,false,136,"Loss","",
16,4911,"Qualification","Red 1",false,"High",0,0,1,"None Docked",true,true,0,6,0,0,2,"Offensive",0,0,false,"Engaged",false,true,true,false,false,108,"Win","",
17,4918,"Qualification","Red 1",true,"Middle",0,1,0,"Docked and Engaged",true,true,1,3,0,1,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,149,"Win","",
18,6831,"Qualification","Red 1",true,"High",0,0,1,"Alliance Member Docked",false,true,2,0,0,0,4,"None",0,0,false,"Docked",true,true,false,false,false,116,"Loss","",
19,2412,"Qualification","Red 1",true,"High",0,0,1,"Docked and Engaged",true,true,0,3,2,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,151,"Win","",
20,7461,"Qualification","Red 1",true,"High",0,0,1,"Alliance Member Docked",true,true,1,2,2,0,7,"Offensive",0,0,false,"Parked",true,true,true,false,false,170,"Win","",
21,4488,"Qualification","Red 1",false,"Low",1,0,0,"None Docked",true,true,3,0,3,0,4,"[Select play style...]",0,0,false,"Engaged",true,true,false,false,false,123,"Loss","

",
22,4125,"Qualification","Red 1",true,"Low",1,0,0,"Alliance Member Docked",true,true,4,0,0,0,5,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,138,"Loss","
",
23,4469,"Qualification","Red 1",true,"High",0,0,2,"Alliance Member Docked",true,true,0,1,2,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,138,"Loss","",
24,3636,"Qualification","Red 1",true,"High",0,0,1,"Docked and Engaged",true,true,1,3,5,0,4,"[Select play style...]",0,0,false,"No points",true,true,false,false,false,117,"Loss","",
25,2147,"Qualification","Red 1",true,"High",0,0,1,"Docked and Engaged",true,true,0,5,2,0,3,"Offensive",0,0,false,"No points",false,true,true,false,false,111,"Loss","",
26,1425,"Qualification","Red 1",true,"High",0,0,2,"Alliance Member Docked",true,true,1,1,2,1,6,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,162,"Win","auto is two cone ",
27,2910,"Qualification","Blue 1",true,"High",0,0,2,"Alliance Member Docked",true,true,0,3,5,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,161,"Win","crazy",
28,4061,"Qualification","Blue 1",true,"Middle",0,1,0,"Alliance Member Docked",true,true,1,1,2,1,6,"Offensive",0,0,false,"Docked",true,true,true,false,false,141,"Win","p good at scoring high",
29,4911,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,0,1,4,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,157,"Win","",
30,5468,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,1,0,2,1,3,"Offensive",0,0,false,"No points",false,true,true,false,false,138,"Win","not that much charge station endgame synergy but it could just be the team",
31,2046,"Qualification","Blue 1",true,"High",0,0,2,"Alliance Member Docked",true,true,2,2,4,0,7,"Offensive",0,0,false,"Engaged",true,true,true,false,false,161,"Win","hella fast cycles ",
32,360,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,0,1,5,0,3,"Offensive",0,0,false,"Docked",false,true,false,false,false,98,"Loss","messed up endgame otherwise good, lost bc alliance member dced",
33,6831,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,1,2,0,1,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,151,"Loss","grabber bad takes forever at the double substation scoring decent",
34,4911,"Qualification","Blue 1",false,"High",0,0,1,"Alliance Member Docked",true,false,1,0,1,0,2,"Both",0,0,false,"Engaged",false,true,true,false,false,87,"Loss","",
35,2522,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,false,0,2,2,1,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,124,"Loss","not at all confident ab the teleop info I was focused on our own robot ",
36,2521,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,0,5,0,0,7,"Offensive",1,0,false,"Engaged",true,true,true,false,false,162,"Win","auto score didn't work after preloaded",
37,488,"Qualification","Blue 1",true,"High",0,0,2,"None Docked",true,true,1,1,4,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,119,"Loss","",
38,3070,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,2,1,1,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,152,"Loss","kinda slow",
39,1540,"Qualification","Blue 1",true,"High",0,1,1,"Alliance Member Docked",true,true,2,1,2,1,1,"Offensive",0,0,false,"Engaged",false,true,true,false,false,95,"Loss","overall well rounded in terms of grabber scoring and balance",
40,2930,"Qualification","Blue 1",true,"High",1,0,1,"Alliance Member Docked",true,true,2,4,2,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,143,"Win","insane endgame balance (like 2 seconds w alliance member waiting for them) and also insanely fast cycles",
41,6831,"Qualification","Blue 1",true,"Middle",0,1,0,"Alliance Member Docked",false,true,0,1,0,0,3,"Offensive",0,0,false,"Engaged",false,true,true,false,false,118,"Loss","smith wrong w grabber in teleop only scored once, and then tried and failed to grab 4 pieces at the double substation in the end just gave up and went to balance w 36 seconds left",
42,7461,"Qualification","Blue 1",true,"High",0,0,2,"Alliance Member Docked",true,false,0,2,3,0,6,"Offensive",2,0,false,"Parked",true,true,true,false,false,159,"Loss","",
43,4911,"Qualification","Blue 1",true,"High",1,0,1,"Alliance Member Docked",true,true,1,4,2,0,3,"Offensive",1,0,false,"Docked",false,true,true,false,false,144,"Win","",
44,2557,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,true,0,1,3,0,4,"Offensive",3,0,false,"Parked",true,true,false,false,false,128,"Loss","slow movement ",
45,5468,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,false,0,0,1,0,2,"Offensive",0,0,false,"Engaged",false,true,true,false,false,107,"Tie","dropped cones, didn't have good communication or smth w double substation but good triple balance",
46,1540,"Qualification","Blue 1",true,"High",1,1,1,"None Docked",true,true,2,0,3,1,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,120,"Loss","",
47,5927,"Qualification","Blue 1",true,"Low",1,0,0,"Alliance Member Docked",false,true,3,0,0,0,4,"Offensive",0,0,false,"Engaged",false,true,true,false,false,125,"Loss","",
48,4469,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",true,false,0,0,3,0,5,"Offensive",0,0,false,"No points",true,true,true,false,false,139,"Loss","",
49,2930,"Qualification","Blue 1",true,"High",0,0,1,"Alliance Member Docked",false,true,1,2,4,0,6,"Offensive",0,0,false,"Docked",true,true,false,false,false,151,"Win","charge station stuck",
50,2910,"Qualification","Blue 1",true,"High",0,1,1,"Alliance Member Docked",true,true,2,0,5,0,3,"Offensive",0,0,false,"Engaged",true,true,true,false,false,196,"Win","",
51,4061,"Qualification","Blue 1",true,"Middle",0,0,0,"Alliance Member Docked",true,true,1,2,2,0,1,"Offensive",0,0,false,"Engaged",true,true,true,false,false,154,"Win","",
52,5827,"Qualification","Blue 1",true,"Middle",0,0,0,"Alliance Member Docked",false,true,2,0,0,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,142,"Loss","",
53,7461,"Qualification","Blue 1",false,"High",0,2,0,"None Docked",true,false,0,2,3,0,3,"Offensive",0,0,false,"Engaged",true,true,true,false,false,146,"Loss","",
54,3674,"Qualification","Blue 1",true,"High",0,0,0,"None Docked",true,true,1,0,4,0,2,"Offensive",0,0,false,"Engaged",false,false,true,false,false,91,"Loss","",
55,4915,"Qualification","Blue 1",true,"High",0,0,0,"Alliance Member Docked",true,true,0,4,0,0,2,"Offensive",0,0,false,"Engaged",true,true,true,true,true,137,"Loss","",
56,488,"Qualification","Blue 1",true,"High",0,1,1,"Alliance Member Docked",true,false,0,1,3,0,6,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,151,"Win","",
57,753,"Qualification","Blue 1",true,"High",0,0,1,"None Docked",true,false,0,0,3,0,4,"[Select play style...]",0,0,true,"Parked",true,true,false,false,false,134,"Win","DCed in teleop",
58,2910,"Qualification","Blue 1",true,"High",0,1,1,"Alliance Member Docked",true,true,0,4,2,0,7,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,181,"[Select outcome...]","",
59,7461,"Qualification","Blue 1",true,"High",0,1,2,"None Docked",true,true,0,5,3,0,4,"Offensive",0,0,false,"Parked",true,true,false,false,false,105,"Loss","",
60,4918,"Qualification","Blue 1",true,"Middle",0,1,0,"Alliance Member Docked",true,false,0,2,0,2,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,138,"Loss","",
61,492,"Qualification","Blue 1",false,"High",0,0,1,"None Docked",true,true,0,3,3,1,6,"Offensive",0,0,false,"No points",true,true,true,false,false,161,"Win","",
62,753,"Qualification","Blue 1",true,"High",0,0,1,"None Docked",true,false,1,1,3,0,4,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,135,"Win","",
