Match Number,Team Number,Match Type,Alliance,Left Community,Preloaded,Auto Scored Low,Auto Scored Med,Auto Scored High,Auto Engaged Docked State,Teleop Scored Cones,Teleop Scored Cubes,Teleop Goals Low,Teleop Goals Med,Teleop Goals High,Teleop Missed Attempts,Teleop Links,Teleop Playstyle,Fouls,Tech Fouls,Robot Broke Down,Endgame Robot State,Endgame Sustainability Bonus,Endgame Coopertition Bonus,Endgame Activation Bonus,Yellow Card 1,Yellow Card 2,Final Alliance Score,Final WLT,Notes
1,3711,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,false,0,1,2,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,149,"Win","robot had a good arm and could easily score high and middle
only scored cones",
2,1983,"Qualification","Blue 2",true,"Middle",0,1,0,"Docked and Engaged",false,true,1,0,1,0,6,"None",0,0,false,"Engaged",true,true,true,false,false,146,"Win","robot scored at first but stopped midway",
3,2990,"Qualification","Blue 2",true,"Didn't score",0,0,0,"Docked and Engaged",true,false,1,0,4,0,3,"Offensive",0,0,false,"Engaged",false,true,true,false,false,104,"Loss","",
4,5468,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",false,true,0,0,1,0,5,"[Select play style...]",0,0,false,"No points",true,true,true,false,false,155,"Win","robot tipped over at the beginning of teleop
shot the cone during auto onto high",
5,4911,"Qualification","Blue 2",false,"Low",1,0,0,"None Docked",true,false,0,1,0,0,1,"Defensive",1,0,false,"Engaged",false,true,false,false,false,98,"Loss","arm didn't really work",
6,492,"Qualification","Blue 2",true,"High",0,0,1,"Alliance Member Docked",true,true,1,2,2,0,3,"Offensive",0,0,false,"No points",true,true,false,false,false,128,"Win","",
7,4469,"Qualification","Blue 2",false,"High",0,0,1,"Docked and Engaged",true,true,2,0,2,0,6,"[Select play style...]",0,0,true,"Parked",true,true,true,false,false,147,"Loss","DC in endgame 
",
8,4918,"Qualification","Blue 2",true,"Middle",0,1,0,"Docked and Engaged",true,false,0,1,0,0,0,"Offensive",0,0,false,"Engaged",false,true,true,false,false,100,"Win","cannot hold cone in stable position. please do not pick this team. very slow and unreliable ",
9,3711,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,false,0,0,1,0,2,"Offensive",0,0,false,"Engaged",true,true,true,false,false,144,"Win","couldn't intake so moved to defense in teleop 
",
10,2990,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,false,1,0,0,0,1,"[Select play style...]",0,0,true,"No points",false,true,true,false,false,83,"Loss","fell over ...",
11,4682,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,true,0,3,1,0,4,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,152,"Win","",
12,4915,"Qualification","Blue 2",false,"High",0,0,1,"Docked and Engaged",true,true,1,2,1,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,167,"Win","",
13,1899,"Qualification","Blue 2",true,"High",0,0,1,"None Docked",true,true,1,0,3,1,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,114,"Loss","",
14,3663,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,true,0,3,4,0,4,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,156,"Win","",
15,2147,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,true,0,3,3,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,141,"Win","",
16,2522,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,true,4,0,1,0,2,"Offensive",0,0,false,"Engaged",false,true,true,false,false,74,"Loss","pretty good",
17,1983,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,true,3,0,1,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,107,"Loss","",
18,2811,"Qualification","Blue 2",true,"Middle",0,1,0,"Docked and Engaged",true,true,3,0,2,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,159,"Win","",
19,5468,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",false,true,1,0,1,0,3,"Offensive",0,0,false,"No points",false,true,false,false,false,108,"Loss","",
20,3711,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,true,0,0,3,0,2,"Offensive",0,0,false,"No points",false,true,true,false,false,79,"Loss","",
21,2990,"Qualification","Blue 2",true,"Middle",0,1,0,"Docked and Engaged",true,false,2,0,3,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,145,"Win","",
22,492,"Qualification","Blue 2",true,"High",0,0,1,"Docked",true,true,0,3,3,0,7,"Offensive",0,0,false,"No points",true,true,true,false,false,153,"Win","",
23,753,"Qualification","Blue 2",false,"High",0,0,1,"Alliance Member Docked",false,false,1,0,2,1,5,"Both",0,0,false,"Engaged",true,true,true,false,false,142,"Win","",
24,1294,"Qualification","Blue 2",false,"High",0,0,1,"None Docked",false,false,0,0,0,0,5,"None",0,0,false,"No points",true,true,false,false,false,129,"Win","",
25,1899,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,true,0,0,3,2,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,132,"Win","",
26,3711,"Qualification","Blue 2",true,"High",0,0,1,"Docked and Engaged",true,false,0,0,2,0,3,"Offensive",0,0,false,"No points",true,true,true,false,false,132,"Loss","",
27,4682,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,true,0,2,3,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,137,"Loss","",
28,3674,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,true,0,0,4,1,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,132,"Loss","",
29,492,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,0,0,5,0,3,"Offensive",0,0,false,"Engaged",false,true,true,false,false,108,"Loss","",
30,5920,"Qualification","Red 3",false,"Middle",0,1,0,"None Docked",false,false,0,0,0,0,1,"None",0,0,true,"Parked",false,true,false,false,false,73,"Loss","disconnected during auto, didn't reconnect ",
31,4469,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,true,1,1,2,0,5,"Offensive",0,0,false,"No points",true,true,false,false,false,125,"Loss","messed up Ballance ",
32,2412,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,false,0,4,2,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,152,"Win","",
33,2930,"Qualification","Red 3",true,"High",1,0,2,"Alliance Member Docked",true,false,2,4,2,0,7,"Offensive",0,0,false,"Parked",true,true,true,false,false,165,"Win","",
34,3711,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,false,0,0,2,1,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,117,"Win","",
35,492,"Qualification","Red 3",true,"High",0,0,1,"Docked",true,true,0,4,2,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,139,"Win","best robot",
36,2811,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,false,1,3,1,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,158,"Loss","",
37,4682,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,0,4,2,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,142,"Win","",
38,1899,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,false,1,1,2,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,162,"Win","",
39,360,"Qualification","Red 3",false,"High",0,0,1,"Alliance Member Docked",true,false,0,0,5,1,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,128,"Win","",
40,1983,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,5,0,1,0,3,"Offensive",0,0,false,"Engaged",false,true,true,false,false,105,"Loss","",
41,4469,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,false,2,0,2,0,5,"Offensive",0,0,false,"Parked",true,true,true,false,false,129,"Win","shaky arm",
42,948,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",false,true,7,0,0,0,6,"Offensive",0,0,false,"Engaged",true,true,true,false,false,165,"Win","really low CG. shooter robot",
43,2412,"Qualification","Red 3",false,"High",0,0,1,"Docked and Engaged",true,false,1,2,2,0,4,"Offensive",0,0,false,"Parked",true,true,false,false,false,118,"Loss","",
44,9036,"Qualification","Red 3",false,"Didn't score",0,0,0,"Alliance Member Docked",false,true,3,0,0,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,135,"Win","",
45,7627,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,0,2,2,0,3,"Offensive",0,0,false,"Engaged",false,true,true,false,false,107,"Tie","tie!?",
46,2046,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,false,2,1,2,0,8,"Offensive",0,0,false,"Engaged",true,true,true,false,false,176,"Win","",
47,1318,"Qualification","Red 3",false,"High",0,0,1,"Docked and Engaged",true,true,1,1,2,0,7,"Offensive",0,0,true,"Engaged",true,true,true,false,false,151,"Win","DCed mid match ",
48,8532,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,false,0,3,2,0,5,"Offensive",0,0,false,"Engaged",true,true,true,false,false,145,"Win","really v Shakey",
49,1294,"Qualification","Red 3",false,"High",0,0,1,"Docked and Engaged",false,false,0,0,0,0,1,"None",0,0,true,"Parked",false,true,false,false,false,73,"Loss","I think the swerve was misaligned , 1778 absolutely carried all points",
50,4915,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,false,3,2,0,0,3,"Offensive",0,0,false,"Engaged",false,true,true,false,false,102,"Loss","",
51,1983,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,6,0,0,0,6,"Offensive",0,0,false,"No points",true,true,true,false,false,150,"Loss","",
52,2521,"Qualification","Red 3",false,"High",0,0,1,"None Docked",false,true,3,1,0,0,0,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,172,"Win","",
53,4469,"Qualification","Red 3",true,"High",0,0,2,"Alliance Member Docked",false,true,0,0,0,0,0,"Offensive",0,0,false,"Parked",true,true,true,false,false,158,"Win","played a strategy where they shot cubes into community ",
54,4488,"Qualification","Red 3",true,"High",0,0,1,"None Docked",true,true,3,0,1,0,0,"[Select play style...]",0,0,false,"Engaged",false,false,false,false,false,116,"Win","",
55,955,"Qualification","Red 3",true,"High",0,0,2,"Alliance Member Docked",true,true,0,2,3,0,0,"Offensive",0,0,false,"Parked",true,true,true,false,false,157,"Win","",
56,7034,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,false,0,0,5,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,127,"Loss","sways and tips but fast cycles for high cones",
57,3070,"Qualification","Red 3",true,"High",0,0,1,"None Docked",true,false,0,0,3,0,3,"Offensive",0,0,false,"Engaged",false,true,true,false,false,112,"Loss","kind of slow movement",
58,2147,"Qualification","Red 3",true,"High",0,0,1,"Docked and Engaged",true,true,1,2,3,0,7,"Offensive",1,0,false,"Engaged",true,true,true,false,false,167,"Loss","strong scorer",
59,3674,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,false,2,0,2,0,6,"Offensive",1,0,false,"Engaged",true,true,true,false,false,138,"Win","3v2 enemy broke down",
60,1425,"Qualification","Red 3",true,"High",0,0,1,"None Docked",true,true,0,2,2,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,155,"Win","",
61,5468,"Qualification","Red 3",false,"High",0,0,1,"None Docked",false,true,0,0,2,0,0,"Offensive",0,0,false,"Docked",true,true,true,false,false,79,"Loss","",
62,2046,"Qualification","Red 3",true,"High",1,0,1,"None Docked",true,true,2,4,1,0,0,"Offensive",0,0,false,"No points",true,true,false,false,false,130,"Loss","accidentally sabotaged own team ",
63,4131,"Qualification","Red 3",false,"High",0,0,1,"None Docked",true,true,0,0,6,0,0,"Offensive",0,0,false,"No points",true,true,false,false,false,105,"Win","",
64,4911,"Qualification","Red 3",true,"High",0,0,2,"None Docked",true,true,2,1,2,0,0,"Offensive",0,0,false,"Engaged",true,true,true,false,false,132,"Win","",
65,5920,"Qualification","Red 3",true,"Low",1,0,0,"None Docked",false,true,4,0,0,0,0,"[Select play style...]",0,0,false,"No points",true,true,true,false,false,97,"Loss","cube only mid",
66,2990,"Qualification","Red 3",true,"High",0,0,0,"Docked and Engaged",true,false,2,0,2,0,2,"Offensive",0,0,false,"Engaged",true,true,true,false,false,112,"Win","",
67,2910,"Qualification","Red 3",true,"High",0,0,1,"Alliance Member Docked",true,true,0,5,2,0,3,"Offensive",0,0,false,"Engaged",true,true,true,false,false,180,"Win","",
68,3636,"Qualification","Red 3",true,"High",0,0,0,"Alliance Member Docked",true,true,1,0,4,0,2,"Offensive",0,0,false,"Engaged",true,true,false,false,false,100,"Loss","",
69,1425,"Qualification","Red 3",true,"High",0,0,0,"Alliance Member Docked",true,true,1,1,3,0,5,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,153,"Loss","",
70,3711,"Qualification","Red 3",true,"High",0,0,0,"Alliance Member Docked",true,false,1,0,3,0,1,"Offensive",0,0,false,"No points",true,true,true,false,false,137,"Loss","",
71,6831,"Qualification","Red 3",true,"High",0,0,0,"Alliance Member Docked",true,false,1,2,0,0,1,"Offensive",0,0,false,"Engaged",true,true,true,false,false,124,"Win","",
72,4061,"Qualification","Red 3",false,"Didn't score",0,0,0,"Alliance Member Docked",true,false,3,0,0,0,1,"Offensive",0,0,false,"No points",false,true,true,false,false,86,"Loss","robot dead for first half",
73,3070,"Qualification","Red 3",false,"High",0,0,0,"Docked and Engaged",true,false,0,0,3,0,1,"Offensive",0,0,false,"Engaged",true,true,true,false,false,141,"Loss","",
74,488,"Qualification","Red 3",true,"High",0,1,0,"Alliance Member Docked",true,false,1,2,3,1,6,"Offensive",0,0,false,"No points",true,true,true,false,false,165,"Win","",
75,2471,"Qualification","Red 3",true,"High",0,0,0,"Docked",true,true,2,1,2,0,7,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,137,"Win","",
76,1778,"Qualification","Red 3",true,"High",0,0,0,"Docked and Engaged",false,true,5,2,0,0,6,"Offensive",0,0,false,"Parked",true,true,false,false,false,141,"Win","",
77,2557,"Qualification","Red 3",false,"Didn't score",0,0,0,"Alliance Member Docked",false,false,0,0,0,0,5,"None",0,0,true,"No points",true,true,true,false,false,125,"Loss","robot dead",
78,492,"Qualification","Red 3",true,"High",0,0,0,"Docked",true,true,0,4,1,0,4,"Offensive",0,0,false,"No points",true,true,false,false,false,121,"Loss","",
79,1294,"Qualification","Red 3",true,"High",0,0,0,"None Docked",true,false,0,0,2,0,3,"[Select play style...]",0,0,true,"Parked",true,true,true,false,false,119,"Win","robot died",
80,5827,"Qualification","Red 3",true,"High",0,0,0,"Alliance Member Docked",false,true,2,0,1,0,3,"[Select play style...]",0,0,false,"Engaged",true,true,true,false,false,124,"Loss","",
81,488,"Qualification","Red 3",true,"High",0,1,0,"Alliance Member Docked",true,true,0,2,3,0,4,"Offensive",0,0,false,"Engaged",true,true,true,false,false,143,"Loss","",
82,2910,"Qualification","Red 3",true,"High",0,1,2,"Alliance Member Docked",true,true,3,3,3,0,9,"Offensive",0,0,false,"Engaged",true,true,true,false,false,192,"Win","full grid",
83,3070,"Qualification","Red 3",false,"Didn't score",0,0,0,"None Docked",true,true,1,0,2,0,4,"Offensive",0,0,false,"Engaged",true,false,true,false,false,121,"Loss","",
84,753,"Qualification","Red 3",false,"High",0,0,1,"None Docked",false,false,0,0,3,0,0,"Offensive",0,0,false,"Engaged",false,true,true,false,false,78,"Win","",
